"University","Start.year","Difference.Value"
"Boise State University",2020,-603903
"Idaho State University",2020,-603903
"Montana State University",2020,2687775.5
"University of Montana",2020,145946
"Washington State University",2020,444079
"Boise State University",2021,-828507
"Idaho State University",2021,-1578507
"Montana State University",2021,3782493
"University of Montana",2021,-1251987
"Washington State University",2021,-123182.3
"Boise State University",2022,1029399
"Idaho State University",2022,583930
"Montana State University",2022,3112238
"University of Montana",2022,749953
"Washington State University",2022,1696623
"Boise State University",2023,4662747.3
"Idaho State University",2023,1195000
"Montana State University",2023,998671
"University of Montana",2023,0
"Washington State University",2023,2332950.5
