University,Start year,End year,Award amount,PI,Active
Boise State University,2021,2026,750000,"Wu, Hao-Yi",Active
Boise State University,2023,2026,599992,"Xiong, Hui (Claire)",Active
Boise State University,2023,2025,12500000,"Knowlton, William",Active
Boise State University,2022,2025,708985,"Cantley, Kurtis",Active
Boise State University,2023,2026,888250,"Kohn, Matthew",Active
Boise State University,2022,2025,1349813,"Xiong, Hui (Claire)",Active
Idaho State University,2022,2025,583930,"Jenkins, Courtney",Active
Idaho State University,2023,2026,1195000,"McNulty, Dustin",Active
Montana State University,2021,2024,5361000,"Boyd, Eric",Active
Montana State University,2020,2024,599047,"Kirkland, Catherine",Active
Montana State University,2023,2026,998671,"Bertagnolli, Anthony",Active
Montana State University,2020,2025,5984310,"Lu, Chaofu",Active
Montana State University,2022,2025,3112238,"Broderick, Joan",Active
University of Montana,2022,2025,749953,"Ware, Andrew",Active
University of Montana,2021,2024,326520,"Sala, Anna",Active
University of Montana,2020,2024,749849,"Gardner, William",Active
Washington State University,2022,2024,2349996,"Cousins, Asaph",Active
Washington State University,2023,2026,1670097,"Peterson, Kirk",Active
Washington State University,2022,2025,2589878,"McCluskey, Matthew",Active
Washington State University,2020,2024,1047982,"Li, Qizhen",Active
Washington State University,2021,2024,1725000,"McEwen, Jean-Sabin",Active
Washington State University,2023,2026,2995804,"Lange, Bernd",Active
Washington State University,2021,2024,1140000,"Lin, Hongfei",Active
Washington State University,2022,2025,149995,"Cheeke, Tanya",Active
Washington State University,2021,2024,1500974,"Kirchhoff, Helmut",Active
University of Idaho,2021,2024,1519359,"Vasdekis, Andreas",Active
University of Idaho,2020,2024,603903,"Yager, Elowyn",Active
University of Idaho,2021,2024,1404162,"Marx, Christopher",Active
University of Idaho,2021,2024,1812000,"Sammarruca, Francesca",Active
