University,Start year,End year,Award amount,PI,Active
University of Idaho,2013,2019,940199,"FORNEY, LARRY J",FALSE
University of Idaho,2013,2018,980492,"FORNEY, LARRY J",FALSE
University of Idaho,2013,2018,998552,"FORNEY, LARRY J",FALSE
University of Idaho,2013,2016,1007868,"FORNEY, LARRY J",FALSE
University of Idaho,2013,2018,1040923,"FORNEY, LARRY J",FALSE
University of Idaho,2013,2016,NA,"FRITZ, SHARON K",FALSE
University of Idaho,2013,2016,NA,"FRITZ, SHARON K",FALSE
University of Idaho,2014,2017,184134,"GRIESHABER, SCOTT S",FALSE
University of Idaho,2014,2019,184394,"GRIESHABER, NICOLE ",FALSE
University of Idaho,2014,2016,229617,"GRIESHABER, SCOTT S",FALSE
University of Idaho,2014,2016,231976,"GRIESHABER, NICOLE ",FALSE
University of Idaho,2014,2015,455032,"STENKAMP, DEBORAH L",FALSE
University of Idaho,2015,2020,101946,"BAUMGAERTNER, BERT ",FALSE
University of Idaho,2015,2025,147472,"FU, AUDREY QIUYAN",FALSE
University of Idaho,2015,2025,152932,"VAN LEUVEN, JAMES ",TRUE
University of Idaho,2015,2025,153149,"FU, AUDREY QIUYAN",FALSE
University of Idaho,2015,2025,156572,"PATEL, JAGDISH SURESH ",TRUE
University of Idaho,2015,2025,163515,"REMIEN, CHRISTOPHER HASKELL",FALSE
University of Idaho,2015,2025,181902,"XIAN, MIN ",FALSE
University of Idaho,2015,2025,199138,"XIAN, MIN ",FALSE
University of Idaho,2015,2019,237916,"FU, AUDREY QIUYAN",FALSE
University of Idaho,2015,2018,243539,"FU, AUDREY QIUYAN",FALSE
University of Idaho,2015,2018,248993,"FU, AUDREY QIUYAN",FALSE
University of Idaho,2015,2025,266181,"WICHMAN, HOLLY A",TRUE
University of Idaho,2015,2018,274493,"KEEFE, ROBERT FREDERICK",FALSE
University of Idaho,2015,2018,274594,"KEEFE, ROBERT FREDERICK",FALSE
University of Idaho,2015,2018,274960,"KEEFE, ROBERT FREDERICK",FALSE
University of Idaho,2015,2020,320445,"MIURA, TANYA A",FALSE
University of Idaho,2015,2020,352464,"PARENT, CHRISTINE ",FALSE
University of Idaho,2015,2025,492598,"WICHMAN, HOLLY A",FALSE
University of Idaho,2015,2020,641562,"WICHMAN, HOLLY A",FALSE
University of Idaho,2015,2020,674722,"WIEST, MICHELLE M",FALSE
University of Idaho,2015,2025,677022,"MILLER, CRAIG R",FALSE
University of Idaho,2015,2025,715546,"MILLER, CRAIG R",FALSE
University of Idaho,2015,2025,764637,"MILLER, CRAIG R",TRUE
University of Idaho,2015,2025,1025023,"WICHMAN, HOLLY A",FALSE
University of Idaho,2015,2025,1040007,"WICHMAN, HOLLY A",FALSE
University of Idaho,2015,2025,1138359,"WICHMAN, HOLLY A",TRUE
University of Idaho,2015,2020,2091139,"WICHMAN, HOLLY A",FALSE
University of Idaho,2015,2020,2108907,"WICHMAN, HOLLY A",FALSE
University of Idaho,2015,2020,2112664,"WICHMAN, HOLLY A",FALSE
University of Idaho,2015,2020,2129188,"WICHMAN, HOLLY A",FALSE
University of Idaho,2015,2020,2130681,"WICHMAN, HOLLY A",FALSE
University of Idaho,2015,2025,2172986,"WICHMAN, HOLLY A",FALSE
