University,Start year,End year,Award amount,PI,Active
Boise State University,2013,2019,266950,"PHILLIPS, SCOTT T",FALSE
Boise State University,2013,2017,284462,"ROHN, TROY T",FALSE
Boise State University,2013,2025,393050,"ROHN, TROY T",TRUE
Boise State University,2013,2022,407623,"ROHN, TROY T",FALSE
Boise State University,2014,2019,116246,"GILLIS, CALVIN ",FALSE
Boise State University,2014,2024,151381,"THEODOSSIOU, SOPHIA KATERINA",TRUE
Boise State University,2014,2024,161475,"OCHOA-REPARAZ, JAVIER ",TRUE
Boise State University,2014,2024,199980,"MORRISON, BRAD ",FALSE
Boise State University,2014,2024,199980,"WARNER, LISA R",FALSE
Boise State University,2014,2024,207135,"MORRISON, BRAD ",FALSE
Boise State University,2014,2024,207135,"WARNER, LISA R",FALSE
Boise State University,2014,2024,220945,"WARNER, LISA R",FALSE
Boise State University,2014,2024,220945,"MORRISON, BRAD ",FALSE
Boise State University,2014,2024,221708,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2019,223692,"LUJAN, TREVOR JUSTIN",FALSE
Boise State University,2014,2019,223693,"MITCHELL, KRISTEN ANDREA",FALSE
Boise State University,2014,2019,223694,"HIREMATH, MINOTI ",FALSE
Boise State University,2014,2019,223695,"ALBIG, ALLAN R",FALSE
Boise State University,2014,2024,269759,"ROMERO, JARED ",FALSE
Boise State University,2014,2024,279413,"ROMERO, JARED ",FALSE
Boise State University,2014,2024,280294,"OXFORD, JULIA THOM",TRUE
Boise State University,2014,2019,290601,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,298039,"ROMERO, JARED ",FALSE
Boise State University,2014,2024,321129,"ROMERO, JARED ",TRUE
Boise State University,2014,2019,436395,"CORNELL, KENNETH A",FALSE
Boise State University,2014,2024,481777,"CORNELL, KENNETH A",FALSE
Boise State University,2014,2024,499020,"CORNELL, KENNETH A",FALSE
Boise State University,2014,2024,532287,"CORNELL, KENNETH A",FALSE
Boise State University,2014,2019,549049,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,573523,"CORNELL, KENNETH A",TRUE
Boise State University,2014,2024,701019,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,723429,"OXFORD, JULIA THOM",TRUE
Boise State University,2014,2024,723429,"OXFORD, JULIA THOM",TRUE
Boise State University,2014,2024,756021,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,783079,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,835283,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,899991,"OXFORD, JULIA THOM",TRUE
Boise State University,2014,2019,1954982,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2019,1984013,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2019,1996464,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2019,2012176,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2019,2039509,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,2107499,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,2107499,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,2107499,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,2107499,"OXFORD, JULIA THOM",FALSE
Boise State University,2014,2024,2107499,"OXFORD, JULIA THOM",TRUE
Boise State University,2016,2020,395813,"NAGARAJAN, RAJESH ",FALSE
Boise State University,2016,2021,402631,"MORRISON, BRAD ",FALSE
Boise State University,2017,2022,86400,"JORCYK, CHERYL LYNN",FALSE
Boise State University,2017,2025,97574,"FERGUSON, MATTHEW LEE",TRUE
Boise State University,2017,2020,118577,"MORRISON, BRAD ",FALSE
Boise State University,2017,2022,228877,"JORCYK, CHERYL LYNN",FALSE
Boise State University,2017,2022,268022,"JORCYK, CHERYL LYNN",FALSE
Boise State University,2017,2022,322469,"JORCYK, CHERYL LYNN",FALSE
Boise State University,2017,2022,322469,"JORCYK, CHERYL LYNN",FALSE
Boise State University,2017,2024,322624,"JORCYK, CHERYL LYNN",TRUE
Boise State University,2017,2025,392031,"FERGUSON, MATTHEW LEE",TRUE
Boise State University,2017,2022,410174,"FERGUSON, MATTHEW LEE",FALSE
Boise State University,2017,2022,417731,"CORNELL, KENNETH A",FALSE
Boise State University,2018,2022,34347,"CURL, CYNTHIA LEIGH",FALSE
Boise State University,2018,2022,150318,"CURL, CYNTHIA LEIGH",FALSE
Boise State University,2018,2021,152689,"CURL, CYNTHIA LEIGH",FALSE
Boise State University,2018,2021,154530,"CURL, CYNTHIA LEIGH",FALSE
Boise State University,2018,2021,165054,"WALSH, DIANA DOUMAS",FALSE
Boise State University,2018,2020,198529,"WALSH, DIANA DOUMAS",FALSE
Boise State University,2018,2022,362242,"BROWNING, JIM ",FALSE
Boise State University,2018,2022,409743,"FITZPATRICK, CLARE ",FALSE
Boise State University,2019,2024,64584,"WILLIAMS, NATHANIEL J.",TRUE
Boise State University,2019,2023,76850,"WILLIAMS, NATHANIEL J.",FALSE
Boise State University,2019,2024,287213,"MAINALI, LAXMAN ",FALSE
Boise State University,2019,2024,290355,"MAINALI, LAXMAN ",TRUE
Boise State University,2019,2024,292596,"MAINALI, LAXMAN ",FALSE
Boise State University,2019,2024,307018,"MAINALI, LAXMAN ",FALSE
Boise State University,2019,2024,331871,"MAINALI, LAXMAN ",FALSE
Boise State University,2019,2024,393704,"LUJAN, TREVOR JUSTIN",TRUE
Boise State University,2019,2024,488269,"WILLIAMS, NATHANIEL J.",TRUE
Boise State University,2019,2023,657716,"WILLIAMS, NATHANIEL J.",FALSE
Boise State University,2019,2023,699388,"WILLIAMS, NATHANIEL J.",FALSE
Boise State University,2019,2023,764192,"WILLIAMS, NATHANIEL J.",FALSE
Boise State University,2020,2025,24239,"UZER, GUNES ",FALSE
Boise State University,2020,2025,72716,"UZER, GUNES ",FALSE
Boise State University,2020,2025,252208,"UZER, GUNES ",TRUE
Boise State University,2020,2025,280602,"UZER, GUNES ",FALSE
Boise State University,2020,2025,280956,"UZER, GUNES ",FALSE
Boise State University,2020,2025,281613,"UZER, GUNES ",FALSE
Boise State University,2020,2025,328437,"BEARD, RICHARD SCOTT",FALSE
Boise State University,2020,2025,330175,"BEARD, RICHARD SCOTT",FALSE
Boise State University,2020,2025,330175,"BEARD, RICHARD SCOTT",FALSE
Boise State University,2020,2025,330175,"BEARD, RICHARD SCOTT",TRUE
Boise State University,2020,2025,378245,"UZER, GUNES ",FALSE
