University,Start year,End year,Award amount,PI
University of Idaho,2013,2015,12243,Eric L Mittelstaedt
University of Idaho,2013,2015,13745,Lilian Alessa
University of Idaho,2013,2014,103241,Troy E Hall
University of Idaho,2013,2019,113945,Kurt Pregitzer
University of Idaho,2013,2019,123383,Eric L Mittelstaedt
University of Idaho,2013,2017,162891,Brian J Yanites
University of Idaho,2013,2017,174337,Jason W Barnes
University of Idaho,2013,2018,221055,Elowyn Yager
University of Idaho,2013,2017,226963,Jerry Fairley
University of Idaho,2013,2014,243424,Von P Walden
University of Idaho,2013,2017,248733,Lisette P Waits
University of Idaho,2013,2016,370746,David Yopp
University of Idaho,2013,2017,373272,Jakob Magolan
University of Idaho,2013,2014,399647,Von P Walden
University of Idaho,2013,2015,447969,Paul E Gessler
University of Idaho,2013,2016,449778,Philip E Higuera
University of Idaho,2013,2017,519897,Posy E Busby
University of Idaho,2013,2020,799959,David C Tank
University of Idaho,2013,2017,2000000,Peter Goodwin
University of Idaho,2013,2019,3099997,Timothy E Link
University of Idaho,2013,2018,20000000,Janet Nelson
University of Idaho,2014,2017,15829,Raymond J Dezzani
University of Idaho,2014,2016,18823,Paul A Hohenlohe
University of Idaho,2014,2016,70000,Matthew Settles
University of Idaho,2014,2019,94118,Daniele Tonina
University of Idaho,2014,2015,122271,Daniel Johnson
University of Idaho,2014,2018,257190,Somantika Datta
University of Idaho,2014,2017,265276,Daniele Tonina
University of Idaho,2014,2017,549997,Lilian Alessa
University of Idaho,2014,2024,597487,Jerry R McMurtry
University of Idaho,2014,2019,749755,Marcos E Galindo
University of Idaho,2014,2019,890877,Vladimir B Aizen
University of Idaho,2015,2018,18738,David C Tank
University of Idaho,2015,2018,18743,David C Tank
University of Idaho,2015,2017,36001,Posy E Busby
University of Idaho,2015,2018,68238,Eric L Mittelstaedt
University of Idaho,2015,2015,72165,Frederick M Ytreberg
University of Idaho,2015,2019,86675,Judith T Parrish
University of Idaho,2015,2016,111279,Daniel Johnson
University of Idaho,2015,2019,200000,Soumya K Srivastava
University of Idaho,2015,2019,219987,Eric L Mittelstaedt
University of Idaho,2015,2021,225000,Mark Coleman
University of Idaho,2015,2019,225924,Eric L Mittelstaedt
University of Idaho,2015,2021,245305,Lisette P Waits
University of Idaho,2015,2020,251014,Scott L Nuismer
