"University","Start.year","Difference.Value"
"Boise State University",2013,-931238.5
"Idaho State University",2013,-814674.6
"Montana State University",2013,-954211.6
"University of Montana",2013,-1160704.8
"Washington State University",2013,-1061090.5
"Boise State University",2014,50683.5
"Idaho State University",2014,-172991
"Montana State University",2014,140353.6
"University of Montana",2014,391645.4
"Washington State University",2014,36257.4
"Boise State University",2015,-202857.2
"Idaho State University",2015,589654.2
"Montana State University",2015,-80585.9
"University of Montana",2015,-142675.8
"Washington State University",2015,-73072.4
"Boise State University",2016,-469093.1
"Idaho State University",2016,-734032
"Montana State University",2016,-458483.1
"University of Montana",2016,-416952.7
"Washington State University",2016,-608384.4
"Boise State University",2017,-296592.8
"Idaho State University",2017,-296710.8
"Montana State University",2017,-288331.4
"University of Montana",2017,-85463.2000000001
"Washington State University",2017,-276186.4
"Boise State University",2018,-816519.5
"Idaho State University",2018,-1337363.8
"Montana State University",2018,-1175043.6
"University of Montana",2018,-468729.3
"Washington State University",2018,-1136018.9
"Boise State University",2019,-26735
"Idaho State University",2019,-246626.1
"Montana State University",2019,-111825.1
"University of Montana",2019,50.3000000000466
"Washington State University",2019,-127545.1
"Boise State University",2020,-378688.7
"Idaho State University",2020,-349039.9
"Montana State University",2020,-166072.5
"University of Montana",2020,-268401.3
"Washington State University",2020,-218947.3
"Boise State University",2021,-1668679.5
"Idaho State University",2021,-1650743.5
"Montana State University",2021,-968792.8
"University of Montana",2021,-1508997.5
"Washington State University",2021,-1460169.2
"Boise State University",2022,-296926.3
"Idaho State University",2022,-412788.8
"Montana State University",2022,-346987.2
"University of Montana",2022,818802.2
"Washington State University",2022,-507859.1
"Boise State University",2023,-1256907.6
"Idaho State University",2023,-917232.2
"Montana State University",2023,-840919.3
"University of Montana",2023,-1441366.2
"Washington State University",2023,-1352329.3
"Boise State University",2024,564381.3
"Idaho State University",2024,-104042
"Montana State University",2024,573834.6
"University of Montana",2024,292678
"Washington State University",2024,-316077.2
