University,Start year,End year,Award amount,PI
Boise State University,2013,2014,17557,Liljana Babinkostova
Boise State University,2013,2013,50000,Inanc Senocak
Boise State University,2013,2016,142843,Matthew J Kohn
Boise State University,2013,2016,192172,Matthew J Kohn
Boise State University,2013,2017,197273,David Solan
Boise State University,2013,2016,219000,Nancy F Glenn
Boise State University,2013,2017,338527,James R Belthoff
Boise State University,2013,2018,427000,Pushpa Raghani
Boise State University,2013,2017,499771,Dianxiang Xu
Boise State University,2013,2017,500000,Elisa H Barney Smith
Boise State University,2013,2015,744036,Mark D Schmitz
Boise State University,2013,2018,2699944,Susan E Shadle
Boise State University,2014,2017,33290,Liljana Babinkostova
Boise State University,2014,2016,41727,Matthew J Kohn
Boise State University,2014,2014,48872,Tammy Y Buonasera
Boise State University,2014,2016,50000,Arvin Farid
Boise State University,2014,2016,75001,Elena Sherman
Boise State University,2014,2017,88130,James P McNamara
Boise State University,2014,2018,99004,Matthew J Kohn
Boise State University,2014,2018,194987,Donna Calhoun
Boise State University,2014,2019,198255,Kevin P Feris
Boise State University,2014,2018,262068,Brittany Brand
Boise State University,2014,2018,270000,Jodi L Mead
Boise State University,2014,2018,287976,Liljana Babinkostova
Boise State University,2014,2018,300000,Hui Xiong
Boise State University,2014,2017,320000,Rick Ubic
Boise State University,2014,2019,410588,Kevin D Ausman
Boise State University,2014,2020,457205,Alejandro Flores
Boise State University,2014,2018,489151,Eric Hayden
Boise State University,2014,2018,500000,Grady B Wright
Boise State University,2014,2020,600000,Jesse Barber
Boise State University,2014,2019,626375,Don Plumlee
Boise State University,2014,2016,914500,Matthew J Kohn
Boise State University,2014,2018,992067,Amit Jain
Boise State University,2014,2019,1499918,William L Hughes
Boise State University,2015,2016,7800,Jennifer Forbey
Boise State University,2015,2016,36400,Jeffrey B Johnson
Boise State University,2015,2020,46000,Tammi Vacha-Haase
Boise State University,2015,2017,46724,Jennifer Pierce
Boise State University,2015,2018,66659,Mark D Schmitz
Boise State University,2015,2018,98981,Virginia Dorsey Wanless
Boise State University,2015,2019,100000,Nancy F Glenn
Boise State University,2015,2018,146907,Noah Salzman
Boise State University,2015,2020,147430,Matthew J Kohn
Boise State University,2015,2017,199955,Peter Mullner
Boise State University,2015,2018,300000,Dianxiang Xu
Boise State University,2015,2019,324000,Dianxiang Xu
Boise State University,2015,2017,355338,Hans-Peter Marshall
Boise State University,2015,2018,381221,Steven Cutchin
Boise State University,2015,2017,500000,Vishal Saxena
Boise State University,2015,2022,528027,Hui Xiong
Boise State University,2016,2017,11435,Leslie J Atkins
Boise State University,2016,2017,12914,Michele B Carney
Boise State University,2016,2016,15889,Leslie J Atkins
Boise State University,2016,2019,97298,Eric Lindquist
Boise State University,2016,2018,99991,William L Hughes
Boise State University,2016,2019,119544,Tim L Andersen
Boise State University,2016,2021,149156,Marie-Anne de Graaff
Boise State University,2016,2019,170724,Matthew J Kohn
Boise State University,2016,2020,174965,Hoda Mehrpouyan
Boise State University,2016,2019,174973,Maria Soledad Pera
Boise State University,2016,2019,187652,Virginia Dorsey Wanless
Boise State University,2016,2018,250605,Max Davis-Johnson
Boise State University,2016,2018,259994,Catherine Olschanowsky
Boise State University,2016,2020,297343,Bhaskar C Chittoori
Boise State University,2016,2021,397199,Catherine Olschanowsky
Boise State University,2016,2020,440004,Hani Mehrpouyan
Boise State University,2016,2019,497121,Dianxiang Xu
Boise State University,2016,2020,500000,Jesse Barber
Boise State University,2016,2022,500000,Trevor Lujan
Boise State University,2016,2022,505149,Daniel Fologea
Boise State University,2016,2023,505798,Paul J Simmonds
Boise State University,2016,2021,749741,William B Knowlton
Boise State University,2016,2022,907000,Donna Llewellyn
Boise State University,2016,2022,1090312,Dazhi Yang
Boise State University,2016,2022,2000000,Amit Jain
Boise State University,2016,2024,4022940,Matthew J Kohn
Boise State University,2017,2018,15934,Matthew J Kohn
Boise State University,2017,2023,50081,Nancy F Glenn
Boise State University,2017,2018,74937,Nancy F Glenn
Boise State University,2017,2021,103550,Trevor Caughlin
Boise State University,2017,2022,130772,Eric Hayden
Boise State University,2017,2020,144551,Thomas D Mikesell
Boise State University,2017,2021,161758,James L Crowley
Boise State University,2017,2021,193997,Lisa Warner
Boise State University,2017,2021,204457,Jodi L Mead
Boise State University,2017,2021,227161,Mark D Schmitz
Boise State University,2017,2022,244417,Grady B Wright
Boise State University,2017,2020,270000,Liljana Babinkostova
Boise State University,2017,2023,299877,Leslie J Atkins
Boise State University,2017,2021,299930,William L Hughes
Boise State University,2017,2021,303412,Jeunghoon Lee
Boise State University,2017,2022,384983,Rick Ubic
Boise State University,2017,2022,412464,Susan E Shadle
Boise State University,2017,2022,499065,Peter Mullner
Boise State University,2017,2022,500000,Yanliang Zhang
Boise State University,2017,2023,502523,Eric Jankowski
Boise State University,2017,2023,536202,Brittany Brand
Boise State University,2017,2021,624000,Elton Graugnard
Boise State University,2017,2023,672773,Mark D Schmitz
Boise State University,2017,2024,1000000,Amy Ulappa
Boise State University,2017,2022,1596856,Laurie O Cavey
Boise State University,2018,2020,53454,Elena Sherman
Boise State University,2018,2023,99806,Arvin Farid
Boise State University,2018,2021,99873,Tim L Andersen
Boise State University,2018,2023,107320,Jen Schneider
Boise State University,2018,2022,187132,Harish Subbaraman
Boise State University,2018,2022,235000,Eric Jankowski
Boise State University,2018,2024,255399,Mark D Schmitz
Boise State University,2018,2023,315587,Donna Calhoun
Boise State University,2018,2024,482081,Michael Ekstrand
Boise State University,2018,2022,497820,Megan E Frary
Boise State University,2018,2022,499964,Edoardo Serra
Boise State University,2018,2024,500000,Elton Graugnard
Boise State University,2018,2024,519301,Brittany Brand
Boise State University,2018,2024,548882,Kurtis Cantley
Boise State University,2018,2024,700000,Alejandro Flores
Boise State University,2018,2024,1000000,Karen Viskupic
Boise State University,2018,2023,1125000,Tim L Andersen
Boise State University,2018,2024,1198526,Laurie O Cavey
Boise State University,2018,2024,1199604,Jerry Fails
Boise State University,2018,2024,6000000,Jennifer Forbey
Boise State University,2019,2023,19940,Jerry Fails
Boise State University,2019,2020,38884,James P McNamara
Boise State University,2019,2024,47873,Samuel Coskey
Boise State University,2019,2022,49995,Donna Llewellyn
Boise State University,2019,2022,74410,Ellyn M Enderlin
Boise State University,2019,2024,92000,Scott E Lowe
Boise State University,2019,2024,174951,Mark D Schmitz
Boise State University,2019,2024,199514,Virginia Dorsey Wanless
Boise State University,2019,2022,213571,Gunes Uzer
Boise State University,2019,2022,221344,Ellyn M Enderlin
Boise State University,2019,2023,231707,James R Belthoff
Boise State University,2019,2024,257797,Matthew J Kohn
Boise State University,2019,2024,292512,Jeffrey B Johnson
Boise State University,2019,2024,299331,Shawn R Simonson
Boise State University,2019,2024,319619,Hui Xiong
Boise State University,2019,2023,334753,Jeffrey B Johnson
Boise State University,2019,2022,405000,Virginia Dorsey Wanless
Boise State University,2019,2025,453808,Hoda Mehrpouyan
Boise State University,2019,2024,465165,James F Smith
Boise State University,2019,2023,466860,Rajesh Nagarajan
Boise State University,2019,2025,550752,David Estrada
Boise State University,2019,2024,900000,Jesse Barber
Boise State University,2019,2024,999867,Arvin Farid
Boise State University,2019,2023,1075000,John Buckwalter
Boise State University,2019,2024,2963761,Joe Champion
Boise State University,2020,2023,20317,Virginia Dorsey Wanless
Boise State University,2020,2024,22636,Jerry Fails
Boise State University,2020,2021,73643,Thomas D Mikesell
Boise State University,2020,2021,100000,Gaby Dagher
Boise State University,2020,2024,100000,Grady B Wright
Boise State University,2020,2024,152000,Mahmood Mamivand
Boise State University,2020,2025,162149,Virginia Dorsey Wanless
Boise State University,2020,2024,191335,Mark D Schmitz
Boise State University,2020,2023,199733,Marie-Anne de Graaff
Boise State University,2020,2024,262770,Mark D Schmitz
Boise State University,2020,2024,265000,Jennifer Pierce
Boise State University,2020,2022,297265,Rick Ubic
Boise State University,2020,2024,299075,Leslie J Atkins
Boise State University,2020,2024,315000,Gunes Uzer
Boise State University,2020,2025,364500,Francesca Spezzano
Boise State University,2020,2025,425754,Rick Ubic
Boise State University,2020,2025,473549,Elena Sherman
Boise State University,2020,2025,487469,Francesca Spezzano
Boise State University,2020,2023,490747,Gena Nelson
Boise State University,2020,2025,500000,Michael F Hurley
