University,Start year,End year,Award Dollars,PI
University of Idaho,2013,NA,30073,NA
University of Idaho,2013,NA,46097,NA
University of Idaho,2013,NA,50000,NA
University of Idaho,2013,NA,50324,NA
University of Idaho,2013,NA,73500,NA
University of Idaho,2013,NA,74000,NA
University of Idaho,2013,NA,74412,NA
University of Idaho,2013,NA,84554,NA
University of Idaho,2013,NA,107000,NA
University of Idaho,2013,NA,120000,NA
University of Idaho,2013,NA,147732,NA
University of Idaho,2013,NA,149500,NA
University of Idaho,2013,NA,175646,NA
University of Idaho,2013,NA,364501,NA
University of Idaho,2013,NA,424926,NA
University of Idaho,2013,NA,436530,NA
University of Idaho,2013,NA,499454,NA
University of Idaho,2013,NA,575994,NA
University of Idaho,2013,NA,721838,NA
University of Idaho,2013,NA,1117684,NA
University of Idaho,2013,NA,1747425,NA
University of Idaho,2013,NA,2505561,NA
University of Idaho,2014,NA,24747,NA
University of Idaho,2014,NA,47561,NA
University of Idaho,2014,NA,53805,NA
University of Idaho,2014,NA,74412,NA
University of Idaho,2014,NA,78900,NA
University of Idaho,2014,NA,79400,NA
University of Idaho,2014,NA,89939,NA
University of Idaho,2014,NA,145000,NA
University of Idaho,2014,NA,192000,NA
University of Idaho,2014,NA,274300,NA
University of Idaho,2014,NA,388061,NA
University of Idaho,2014,NA,485613,NA
University of Idaho,2014,NA,500000,NA
University of Idaho,2014,NA,642589,NA
University of Idaho,2014,NA,815716,NA
University of Idaho,2014,NA,1947915,NA
University of Idaho,2014,NA,2832852,NA
University of Idaho,2014,NA,4000000,NA
University of Idaho,2015,NA,302,NA
University of Idaho,2015,NA,3155,NA
University of Idaho,2015,NA,11075,NA
University of Idaho,2015,NA,13752,NA
University of Idaho,2015,NA,14016,NA
University of Idaho,2015,NA,24165,NA
University of Idaho,2015,NA,24316,NA
University of Idaho,2015,NA,28508,NA
University of Idaho,2015,NA,42730,NA
University of Idaho,2015,NA,55708,NA
University of Idaho,2015,NA,60396,NA
University of Idaho,2015,NA,73732,NA
University of Idaho,2015,NA,78900,NA
University of Idaho,2015,NA,79400,NA
University of Idaho,2015,NA,89939,NA
University of Idaho,2015,NA,122092,NA
University of Idaho,2015,NA,154986,NA
University of Idaho,2015,NA,168132,NA
University of Idaho,2015,NA,177984,NA
University of Idaho,2015,NA,245884,NA
University of Idaho,2015,NA,274300,NA
University of Idaho,2015,NA,314334,NA
University of Idaho,2015,NA,370104,NA
University of Idaho,2015,NA,474857,NA
University of Idaho,2015,NA,474907,NA
University of Idaho,2015,NA,487838,NA
University of Idaho,2015,NA,498932,NA
University of Idaho,2015,NA,502731,NA
University of Idaho,2015,NA,541680,NA
University of Idaho,2015,NA,649709,NA
University of Idaho,2015,NA,1567524,NA
