University,Start year,End year,Award amount,PI
Boise State University ,2013,NA,499815,NA
Boise State University ,2014,NA,47041,NA
Boise State University ,2018,NA,139519,NA
Boise State University ,2018,NA,147723,NA
Boise State University ,2018,NA,148251,NA
Boise State University ,2018,NA,149997,NA
Boise State University ,2019,NA,195645,NA
Boise State University ,2019,NA,197142,NA
Boise State University ,2020,NA,478500,NA
Boise State University ,2020,NA,499935,NA
Boise State University ,2021,NA,229934,NA
Boise State University ,2021,NA,298629,NA
Boise State University ,2021,NA,499965,NA
Boise State University ,2022,NA,650000,NA
Boise State University ,2023,NA,119978,NA
Boise State University ,2023,NA,119987,NA
Boise State University ,2023,NA,1000000,NA
Idaho State University,2014,NA,150000,NA
Idaho State University,2018,NA,149993,NA
Montana State University,2013,NA,10881,NA
Montana State University,2013,NA,49174,NA
Montana State University,2013,NA,55649,NA
Montana State University,2013,NA,62000,NA
Montana State University,2013,NA,65000,NA
Montana State University,2013,NA,79000,NA
Montana State University,2013,NA,82000,NA
Montana State University,2013,NA,84000,NA
Montana State University,2013,NA,86000,NA
Montana State University,2013,NA,92179,NA
Montana State University,2013,NA,330000,NA
Montana State University,2013,NA,368526,NA
Montana State University,2013,NA,481588,NA
Montana State University,2013,NA,500000,NA
Montana State University,2013,NA,757266,NA
Montana State University,2013,NA,808414,NA
Montana State University,2013,NA,1671084,NA
Montana State University,2013,NA,2364455,NA
Montana State University,2014,NA,9536,NA
Montana State University,2014,NA,11500,NA
Montana State University,2014,NA,45132,NA
Montana State University,2014,NA,62608,NA
Montana State University,2014,NA,67400,NA
Montana State University,2014,NA,70400,NA
Montana State University,2014,NA,84400,NA
Montana State University,2014,NA,87400,NA
Montana State University,2014,NA,89400,NA
Montana State University,2014,NA,92179,NA
Montana State University,2014,NA,93750,NA
Montana State University,2014,NA,140000,NA
Montana State University,2014,NA,195362,NA
Montana State University,2014,NA,382103,NA
Montana State University,2014,NA,399858,NA
Montana State University,2014,NA,458901,NA
Montana State University,2014,NA,913551,NA
Montana State University,2014,NA,1882525,NA
Montana State University,2014,NA,2712498,NA
Montana State University,2015,NA,157,NA
Montana State University,2015,NA,1216,NA
Montana State University,2015,NA,6467,NA
Montana State University,2015,NA,12887,NA
Montana State University,2015,NA,17363,NA
Montana State University,2015,NA,44183,NA
Montana State University,2015,NA,49721,NA
Montana State University,2015,NA,49835,NA
Montana State University,2015,NA,67400,NA
Montana State University,2015,NA,70400,NA
Montana State University,2015,NA,72600,NA
Montana State University,2015,NA,74816,NA
Montana State University,2015,NA,84400,NA
Montana State University,2015,NA,87400,NA
Montana State University,2015,NA,89400,NA
Montana State University,2015,NA,135000,NA
Montana State University,2015,NA,139750,NA
Montana State University,2015,NA,140000,NA
Montana State University,2015,NA,149514,NA
Montana State University,2015,NA,149827,NA
Montana State University,2015,NA,173575,NA
Montana State University,2015,NA,309506,NA
Montana State University,2015,NA,357680,NA
Montana State University,2015,NA,385100,NA
Montana State University,2015,NA,463930,NA
Montana State University,2015,NA,499990,NA
Montana State University,2015,NA,518666,NA
Montana State University,2015,NA,727633,NA
Montana State University,2015,NA,1513996,NA
Montana State University,2015,NA,2208837,NA
Montana State University,2016,NA,735,NA
Montana State University,2016,NA,2681,NA
Montana State University,2016,NA,12835,NA
Montana State University,2016,NA,17363,NA
Montana State University,2016,NA,40558,NA
Montana State University,2016,NA,49547,NA
Montana State University,2016,NA,67400,NA
Montana State University,2016,NA,70400,NA
Montana State University,2016,NA,72492,NA
Montana State University,2016,NA,74816,NA
Montana State University,2016,NA,84400,NA
Montana State University,2016,NA,87400,NA
Montana State University,2016,NA,89400,NA
Montana State University,2016,NA,140000,NA
Montana State University,2016,NA,140000,NA
Montana State University,2016,NA,158744,NA
Montana State University,2016,NA,171230,NA
Montana State University,2016,NA,309300,NA
Montana State University,2016,NA,325000,NA
Montana State University,2016,NA,355618,NA
Montana State University,2016,NA,362378,NA
Montana State University,2016,NA,521557,NA
Montana State University,2016,NA,730296,NA
Montana State University,2016,NA,1507253,NA
Montana State University,2016,NA,2220951,NA
Montana State University,2017,NA,2741,NA
Montana State University,2017,NA,39018,NA
Montana State University,2017,NA,65278,NA
Montana State University,2017,NA,79000,NA
Montana State University,2017,NA,80000,NA
Montana State University,2017,NA,81000,NA
Montana State University,2017,NA,92179,NA
Montana State University,2017,NA,94378,NA
Montana State University,2017,NA,123000,NA
Montana State University,2017,NA,140000,NA
Montana State University,2017,NA,150000,NA
Montana State University,2017,NA,199997,NA
Montana State University,2017,NA,244618,NA
Montana State University,2017,NA,244905,NA
Montana State University,2017,NA,273000,NA
Montana State University,2017,NA,300000,NA
Montana State University,2017,NA,300000,NA
Montana State University,2017,NA,381792,NA
Montana State University,2017,NA,902647,NA
Montana State University,2017,NA,1849824,NA
Montana State University,2017,NA,2739719,NA
Montana State University,2018,NA,40016,NA
Montana State University,2018,NA,65278,NA
Montana State University,2018,NA,79000,NA
Montana State University,2018,NA,80000,NA
Montana State University,2018,NA,81000,NA
Montana State University,2018,NA,88000,NA
Montana State University,2018,NA,89615,NA
Montana State University,2018,NA,92179,NA
Montana State University,2018,NA,140000,NA
Montana State University,2018,NA,257849,NA
Montana State University,2018,NA,294200,NA
Montana State University,2018,NA,300000,NA
Montana State University,2018,NA,310505,NA
Montana State University,2018,NA,357974,NA
Montana State University,2018,NA,382273,NA
Montana State University,2018,NA,500000,NA
Montana State University,2018,NA,500000,NA
Montana State University,2018,NA,618231,NA
Montana State University,2018,NA,914009,NA
Montana State University,2018,NA,1851341,NA
Montana State University,2018,NA,1999995,NA
Montana State University,2018,NA,2687555,NA
Montana State University,2018,NA,3266237,NA
Montana State University,2018,NA,7895037,NA
Montana State University,2019,NA,17663,NA
Montana State University,2019,NA,38643,NA
Montana State University,2019,NA,65278,NA
Montana State University,2019,NA,79000,NA
Montana State University,2019,NA,80000,NA
Montana State University,2019,NA,81000,NA
Montana State University,2019,NA,88000,NA
Montana State University,2019,NA,92179,NA
Montana State University,2019,NA,160000,NA
Montana State University,2019,NA,194000,NA
Montana State University,2019,NA,249997,NA
Montana State University,2019,NA,300000,NA
Montana State University,2019,NA,385007,NA
Montana State University,2019,NA,467104,NA
Montana State University,2019,NA,496091,NA
Montana State University,2019,NA,978894,NA
Montana State University,2019,NA,1977629,NA
Montana State University,2019,NA,2852661,NA
Montana State University,2019,NA,8326843,NA
Montana State University,2020,NA,0,NA
Montana State University,2020,NA,9693,NA
Montana State University,2020,NA,36274,NA
Montana State University,2020,NA,42384,NA
Montana State University,2020,NA,60933,NA
Montana State University,2020,NA,65278,NA
Montana State University,2020,NA,85616,NA
Montana State University,2020,NA,86616,NA
Montana State University,2020,NA,87616,NA
Montana State University,2020,NA,92179,NA
Montana State University,2020,NA,92179,NA
Montana State University,2020,NA,94298,NA
Montana State University,2020,NA,94616,NA
Montana State University,2020,NA,103221,NA
Montana State University,2020,NA,116506,NA
Montana State University,2020,NA,134974,NA
Montana State University,2020,NA,163796,NA
Montana State University,2020,NA,180034,NA
Montana State University,2020,NA,194000,NA
Montana State University,2020,NA,199985,NA
Montana State University,2020,NA,225621,NA
Montana State University,2020,NA,249991,NA
Montana State University,2020,NA,280000,NA
Montana State University,2020,NA,291000,NA
Montana State University,2020,NA,387571,NA
Montana State University,2020,NA,387571,NA
Montana State University,2020,NA,451000,NA
Montana State University,2020,NA,455000,NA
Montana State University,2020,NA,500000,NA
Montana State University,2020,NA,500000,NA
Montana State University,2020,NA,748330,NA
Montana State University,2020,NA,943961,NA
Montana State University,2020,NA,956916,NA
Montana State University,2020,NA,1962569,NA
Montana State University,2020,NA,1970099,NA
Montana State University,2020,NA,2777795,NA
Montana State University,2020,NA,2834450,NA
Montana State University,2020,NA,8365300,NA
Montana State University,2021,NA,17243,NA
Montana State University,2021,NA,33202,NA
Montana State University,2021,NA,36304,NA
Montana State University,2021,NA,60933,NA
Montana State University,2021,NA,85616,NA
