,10,20,30,40,50,60,70,80,90
time 1,0.322,0.227,0.328,0.313,0.466,0.419,0.433,0.43,0.484
time 2,0.266,0.286,0.462,0.386,0.4,0.406,0.432,0.481,0.465
time 3,0.299,0.218,0.392,0.311,0.411,0.399,0.471,0.459,0.511
time 4,0.235,0.351,0.381,0.404,0.362,0.439,0.424,0.457,0.46
time 5,0.334,0.337,0.379,0.399,0.427,0.44,0.432,0.414,0.409
time 6,0.188,0.339,0.401,0.381,0.422,0.419,0.418,0.471,0.484
time 7,0.225,0.342,0.45,0.348,0.389,0.407,0.401,0.437,0.451
time 8,0.277,0.303,0.305,0.393,0.368,0.387,0.512,0.443,0.435
time 9,0.347,0.379,0.412,0.489,0.383,0.452,0.432,0.489,0.428
time 10,0.288,0.381,0.389,0.371,0.414,0.415,0.46,0.452,0.454
time 11,0.268,0.339,0.36,0.404,0.408,0.445,0.421,0.452,0.517
time 12,0.202,0.312,0.344,0.383,0.353,0.388,0.488,0.49,0.512
time 13,0.224,0.309,0.361,0.389,0.455,0.475,0.46,0.479,0.506
time 14,0.237,0.348,0.389,0.484,0.4,0.475,0.457,0.465,0.392
time 15,0.294,0.27,0.386,0.421,0.47,0.406,0.413,0.553,0.454
time 16,0.32,0.339,0.351,0.382,0.415,0.414,0.426,0.449,0.452
time 17,0.184,0.249,0.37,0.369,0.384,0.392,0.417,0.463,0.427
time 18,0.265,0.33,0.351,0.355,0.44,0.429,0.466,0.5,0.469
time 19,0.312,0.364,0.303,0.317,0.383,0.437,0.456,0.536,0.503
time 20,0.329,0.282,0.384,0.367,0.468,0.483,0.468,0.444,0.455
time 21,0.27,0.382,0.367,0.304,0.391,0.412,0.452,0.488,0.4
time 22,-0.034,0.303,0.451,0.353,0.414,0.367,0.419,0.416,0.538
time 23,0.064,0.318,0.404,0.401,0.409,0.471,0.446,0.482,0.462
time 24,0.342,0.307,0.366,0.303,0.399,0.435,0.488,0.479,0.355
time 25,0.266,0.329,0.328,0.419,0.364,0.479,0.411,0.444,0.498
time 26,0.283,0.271,0.335,0.44,0.331,0.396,0.438,0.438,0.48
time 27,0.292,0.332,0.34,0.406,0.395,0.441,0.463,0.472,0.511
time 28,0.279,0.374,0.303,0.367,0.435,0.44,0.483,0.516,0.442
time 29,0.251,0.448,0.309,0.345,0.394,0.435,0.48,0.435,0.439
time 30,0.292,0.334,0.414,0.409,0.481,0.47,0.442,0.407,0.461
time 31,0.224,0.33,0.389,0.451,0.382,0.47,0.486,0.424,0.495
time 32,0.223,0.405,0.371,0.379,0.492,0.392,0.386,0.406,0.488
time 33,0.21,0.32,0.412,0.349,0.48,0.469,0.453,0.489,0.618
time 34,0.236,0.361,0.437,0.451,0.395,0.435,0.47,0.513,0.569
time 35,0.338,0.319,0.368,0.396,0.378,0.463,0.44,0.468,0.43
time 36,0.146,0.383,0.291,0.433,0.32,0.479,0.492,0.448,0.505
time 37,0.17,0.318,0.448,0.441,0.379,0.423,0.452,0.47,0.387
time 38,0.289,0.324,0.35,0.415,0.451,0.511,0.424,0.407,0.598
time 39,0.153,0.266,0.382,0.352,0.411,0.434,0.473,0.469,0.375
time 40,0.157,0.398,0.417,0.363,0.395,0.475,0.514,0.482,0.497
time 41,0.174,0.345,0.361,0.427,0.419,0.4,0.415,0.42,0.466
time 42,0.271,0.348,0.361,0.415,0.453,0.459,0.474,0.473,0.49
time 43,0.305,0.391,0.308,0.468,0.464,0.416,0.447,0.509,0.499
time 44,0.41,0.351,0.338,0.435,0.394,0.436,0.451,0.481,0.43
time 45,0.217,0.305,0.411,0.445,0.418,0.46,0.422,0.397,0.456
time 46,0.375,0.374,0.411,0.37,0.472,0.451,0.441,0.525,0.326
time 47,0.197,0.225,0.285,0.373,0.454,0.454,0.505,0.528,0.539
time 48,0.262,0.261,0.401,0.43,0.36,0.444,0.471,0.438,0.451
time 49,0.319,0.304,0.351,0.415,0.436,0.379,0.469,0.474,0.509
time 50,0.065,0.278,0.352,0.428,0.444,0.471,0.447,0.422,0.452
