Taxa,Source,PC1,PC2,PC3
52001,WSU,15.445591,30.2358,-17.686216
52002,WSU,21.627783,16.441656,-13.078222
52003,WSU,29.526524,-26.221403,-21.244442
52004,WSU,32.8724,-22.423449,-22.065659
52005,WSU,27.013878,-11.249644,-10.5785055
52006,WSU,27.14313,14.563737,-4.284081
52007,WSU,27.263338,-6.053582,-9.484255
52008,WSU,33.538532,-1.8252103,-13.858163
52009,WSU,24.79313,-20.684368,-12.110534
52010,WSU,13.793333,-8.13966,1.3436513
52011,WSU,23.00347,-24.725708,-13.786782
52012,WSU,25.196321,-17.812958,-5.1296425
52013,WSU,26.753693,-4.2090063,-9.071796
52014,WSU,26.285797,-20.690424,-8.059045
52015,WSU,1.1625273,-19.286701,-12.209638
52016,WSU,25.080645,14.604225,-4.3133736
52017,WSU,32.61115,-15.388866,-16.940435
52018,WSU,25.59921,16.037746,-3.9105713
52019,WSU,26.271559,13.313016,-3.7007565
52020,WSU,31.847624,-22.471771,-12.956204
52021,WSU,29.125637,-15.475742,-17.521828
52022,WSU,6.801054,-8.863042,7.43251
52023,WSU,3.2883718,-18.426226,-12.681227
52024,WSU,2.1246443,-12.879953,1.7299523
52025,WSU,-9.955372,8.899725,-13.014701
52026,WSU,-19.16745,-2.4257562,-5.2628508
52027,UI,-15.44707,5.432516,-1.1977975
52028,UI,-32.215443,-0.9537428,-13.083922
52029,UI,-16.725676,-2.2932174,-21.301096
52030,UI,-31.754135,-2.1842816,-10.215434
52031,UI,-34.114998,-5.336981,-9.724851
52032,UI,-25.43782,0.24961805,-1.8971169
52033,UI,30.7364,-21.477186,-10.959839
52034,UI,12.394403,-17.123674,-14.816533
52035,UI,32.696682,-14.990904,-13.420785
52036,UI,28.283482,-18.213013,-25.165678
52037,UI,-34.12766,-5.3662176,-9.604906
52038,UI,-26.13903,-3.2536316,-8.773837
52039,UI,2.837853,-16.564638,-7.13111
52040,UI,31.74431,-20.74309,-15.78042
52041,Other,-0.67201656,-11.86367,3.1974893
52042,UI,-27.874126,-7.084885,-4.791728
52043,UI,-34.234303,-5.4005265,-9.687659
52044,UI,-26.141508,0.55810004,-2.129098
52045,UI,-15.015417,1.9770967,-8.116384
52046,UI,6.1577845,-18.655273,-7.8235
52047,UI,-25.507345,-2.794012,-24.984978
52048,UI,-2.3737597,-12.128034,-6.192784
52049,UI,-24.751244,-8.253618,-21.183767
52050,UI,13.514343,-12.91984,-12.979732
52051,UI,-13.059427,2.171256,-18.72398
52052,UI,-36.655327,-12.155779,-10.252635
52053,UI,-16.555422,-9.209017,-14.435516
52054,UI,-19.228155,-1.7411907,-5.606099
52055,UI,-13.506015,-6.939403,-18.341883
52056,UI,-0.080756515,0.81045496,6.7289433
52057,UI,-34.148422,-0.49211597,-21.654924
52058,UI,-32.833725,1.5616875,-12.776052
52059,UCD,10.331939,1.7784711,24.862335
52060,UCD,10.350484,1.7674937,24.888342
52061,UCD,9.985298,2.104829,25.30855
52062,UCD,10.26037,1.6886399,24.472479
52063,UCD,23.321104,-4.077784,7.793708
52064,UCD,-2.8497617,14.355981,7.494609
52065,UCD,-7.7105517,22.786285,-2.8421736
52066,UCD,0.4517322,-6.0081015,7.6137795
52067,UCD,11.636003,-10.148372,15.2754965
52068,UCD,15.486513,-11.809515,23.850489
52069,UCD,2.1843307,3.4307196,5.3668394
52070,UCD,12.419547,-7.2339387,15.69361
52071,UCD,11.741677,-13.161492,17.790863
52072,UCD,8.61085,-3.859833,2.9235191
52073,UCD,2.1994486,1.4187669,9.170081
52074,UCD,9.347209,-0.45076668,18.53785
52075,UCD,5.074564,-11.091713,-4.6311045
52076,UCD,6.6936817,-13.904217,-3.453789
52077,UCD,1.8293661,0.90905315,12.832621
52078,UCD,-3.454688,6.5677047,17.98955
52079,UCD,-7.6372156,11.621297,15.075472
52080,UCD,5.488402,-3.3049192,19.502363
52081,UCD,15.571799,-7.184868,9.6184225
52082,UCD,9.299149,-11.09825,5.3304935
52083,UCD,2.4783237,-6.5387244,4.2859864
52084,UCD,-7.6991444,22.772936,-2.8303337
52085,UCD,10.533604,-12.592234,17.600426
52086,UCD,11.392241,-5.051053,6.8906927
52087,UCD,7.9581785,-4.788268,10.397311
52088,UCD,6.767216,-11.398646,5.8900747
52089,UCD,19.834478,-3.8075023,10.460249
52090,UCD,3.5829034,1.2230216,10.232813
52091,UCD,16.416285,8.5927105,5.375528
52092,UCD,17.6638,1.6075172,5.161785
52093,MSU,14.9524765,21.089008,-8.439363
52094,MSU,8.70857,21.405348,-13.020458
52095,MSU,10.531169,38.41648,-11.799671
52096,MSU,2.5114887,68.11902,-15.607935
52097,MSU,15.483194,42.675423,-15.050223
52098,MSU,14.633379,27.35152,-10.397369
52099,MSU,11.7476425,46.463913,-18.498045
52100,MSU,4.9501553,67.90498,-11.516998
52101,MSU,7.0606747,41.662136,-14.907904
52102,MSU,8.577997,49.778217,-16.382273
52103,MSU,2.066655,67.722176,-15.491231
52104,MSU,18.489698,32.97257,-12.642914
52105,MSU,16.83187,-14.463366,-7.4299912
52106,MSU,-2.187046,16.720654,-9.819218
52107,MSU,13.936149,23.563808,2.9294586
52108,MSU,2.8683324,67.89217,-15.428327
52109,MSU,24.516695,-7.4330006,-18.769846
52110,MSU,4.9901705,66.508224,-11.920993
52111,MSU,2.9720092,58.441418,-16.455976
52112,MSU,5.08608,36.051815,-13.656017
52113,MSU,12.759233,39.783596,-16.332684
52114,MSU,25.265785,7.5386214,-25.25793
52115,MSU,25.576712,-19.993559,-20.245052
52116,MSU,5.6842422,26.400972,-7.4550347
52117,MSU,16.155424,16.165346,-9.921571
52118,CIMMYT,3.4693797,12.056356,13.048162
52119,CIMMYT,2.7668366,1.3499368,36.87329
52120,CIMMYT,2.7281816,10.476063,27.04378
52121,CIMMYT,6.5784326,-3.185622,27.638445
