ENT,Source,YLD_E1,YLD_E2,YLD_E4,YLD_E5,YLD_BLUPs
52001,WSU,5945.14,5593.75,5405.79,6035.23,5522.85
52002,WSU,6267.64,5666.55,5712.12,6105.01,5759.28
52003,WSU,5366.8,5614.09,5861.16,6597.03,5990.82
52004,WSU,5221.34,5404.26,5923.09,6393.54,5776.42
52005,WSU,6668.46,5847.48,6125.24,6801.84,6457.15
52006,WSU,6105.4,5463.14,5901.34,6378.97,5867.79
52007,WSU,4750.83,5337.88,5251.12,5979.33,5183.21
52008,WSU,5820.97,5837.85,5816.44,6546.04,6104.63
52009,WSU,5249.36,5377.49,5645.38,6094.5,5479.41
52010,WSU,5898.7,5499.54,6244,6356.66,6002.36
52011,WSU,6340.98,5888.16,6036.48,6738.66,6377.97
52012,WSU,7013.38,5630.15,6091.53,6293.77,6070.41
52013,WSU,6414.75,5602.32,5870.66,6846.06,6218.51
52014,WSU,5346.62,5522.02,5771.57,6286.66,5727.39
52015,WSU,6384.95,5851.76,6018.32,7005.28,6503.33
52016,WSU,6584.31,5549.86,5999.19,6767.61,6215.24
52017,WSU,4326.21,5086.29,5764.83,5919.65,5193.65
52018,WSU,6675.17,5434.23,6048.59,7059.22,6344.04
52019,WSU,6586.31,5563.77,5853.59,7059.17,6324.27
52020,WSU,5590.46,5515.6,5615.93,6026.51,5533.69
52021,WSU,5776.17,5303.62,5748.73,6178.65,5575.67
52022,WSU,5179.3,5576.62,5895.29,6841.7,6105.33
52023,WSU,7258.74,5814.29,6122.63,6761.49,6466.54
52024,WSU,6983.35,5419.24,6060.15,6389.67,5993.21
52025,WSU,6789.01,5675.12,5610.29,6875.07,6196.47
52026,WSU,6654.43,6051.97,5917.86,7207.15,6706.01
52027,UI,5757.13,5592.68,6488.82,7143.12,6584.2
52028,UI,5031.64,5778.96,6009.78,6561.7,6094.78
52029,UI,4397.4,5448.15,6179.46,7058.25,6209.06
52030,UI,4740.71,5641.93,6149.32,6902.13,6244.34
52031,UI,5559.38,6010.21,6622.58,7101.36,6827.75
52032,UI,5635.13,5322.89,6177.67,6612.18,5998.05
52033,UI,5961.03,5523.09,5827.58,6149.14,5728.21
52034,UI,5350.16,5596.96,5972.08,6363.11,5896.3
52035,UI,5200.27,5624.8,6034.42,6758.05,6145.62
52036,UI,5345.71,5737.21,5490.57,6473.18,5829.78
52037,UI,5647.37,5561.63,6364.14,6646.02,6227.02
52038,UI,5318.49,5604.46,6067.31,6603.56,6072.33
52039,UI,4101.15,5319.68,6065.93,6756.33,5896.48
52040,UI,3787.15,5240.45,5820.98,6363.84,5502.97
52041,Other,5794.12,6181.51,5983.64,6653.46,6420.36
52042,UI,5263.56,5640.86,5885.79,6631.66,6026.27
52043,UI,5503.65,5785.39,5966.44,6648.43,6169.29
52044,UI,6090.47,5735.07,6235.06,6879.66,6435.81
52045,UI,6134.25,5607.67,6353.68,7029.91,6504.5
52046,UI,4904.65,5418.17,6117.81,7003.43,6179.96
52047,UI,5155.73,5504.89,5988.18,7006.44,6195.65
52048,UI,4126.3,5168.72,5923.64,6191.21,5440.35
52049,UI,6046.42,5851.76,6085.61,6532.22,6238.04
52050,UI,4212.2,5345.37,4884.93,6672.68,5373
52051,UI,4882.87,5379.63,5859.92,6144.21,5567.51
52052,UI,6019.27,5676.19,5872.86,7044.34,6336.17
52053,UI,3798.8,5148.38,6052.44,7100.28,5963.59
52054,UI,5920.75,5743.63,5891.71,7349.88,6543.16
52055,UI,4626.71,5374.28,6108.59,6770.71,5997.99
52056,UI,4374.78,4893.58,4874.6,5666.98,4574.49
52057,UI,4809.92,5288.63,6051.62,6933.68,6034.14
52058,UI,4355.05,5165.51,6065.79,6734.59,5822.37
52059,UCD,6833.88,6013.42,5748.59,6589.73,6283.75
52060,UCD,7192.86,5846.41,6212.08,6832.38,6555.93
52061,UCD,6986.33,5798.23,6215.65,6762.21,6474
52062,UCD,6877.99,5554.14,6156.48,6716.06,6280.78
52063,UCD,4737.1,5155.88,6347.76,7024.16,6131.57
52064,UCD,5653.39,5477.06,5457.81,6605.76,5774.97
52065,UCD,7569.06,5478.13,6017.35,6415.62,6072.45
52066,UCD,6019.82,4904.29,5755.61,6766.56,5710.83
52067,UCD,6841.82,5232.96,5986.66,6137.76,5707.56
52068,UCD,6907.02,5405.33,5857.31,6484.36,5945.98
52069,UCD,6656.8,5734,5901.76,6647.6,6213.37
52070,UCD,6637.03,5412.82,5889.1,6331.33,5854.61
52071,UCD,6132.43,5389.27,5909.05,6207.35,5737.24
52072,UCD,6531.9,5250.09,5874.78,6745.07,5982.07
52073,UCD,6581.83,5404.26,5915.66,6560.6,5984.58
52074,UCD,6163.96,5724.36,5625.56,6493.71,5962.42
52075,UCD,6454.38,5862.47,5853.45,7064.45,6478.32
52076,UCD,5816.85,5531.66,5705.24,6768.6,6014.72
52077,UCD,5618.88,5474.92,6439.83,6660.82,6217.63
52078,UCD,6330.79,5952.4,5766.89,6610.09,6226.03
52079,UCD,6433.08,5447.08,6009.37,6059.46,5754.62
52080,UCD,7269.57,5757.55,6294.37,6873.24,6571.84
52081,UCD,6673.79,5615.16,6335.79,6674.18,6348.94
52082,UCD,5394.92,4987.79,5705.38,6258.36,5396.85
52083,UCD,5301.18,5437.44,5833.36,6070.24,5582.67
52084,UCD,7306.51,5746.85,6090.15,6451.95,6247.19
