,GBLUP,RR,LASSO,RKHS,RF,SVM
time 1,0.32,0.412,0.362,0.404,0.423,0.298
time 2,0.401,0.376,0.394,0.435,0.382,0.141
time 3,0.421,0.405,0.393,0.408,0.385,0.342
time 4,0.365,0.423,0.356,0.365,0.397,0.312
time 5,0.401,0.439,0.362,0.398,0.355,0.229
time 6,0.386,0.394,0.417,0.406,0.431,0.263
time 7,0.373,0.408,0.352,0.417,0.408,0.162
time 8,0.366,0.395,0.416,0.412,0.394,0.273
time 9,0.409,0.377,0.379,0.422,0.351,0.165
time 10,0.386,0.394,0.431,0.422,0.388,0.317
time 11,0.414,0.4,0.427,0.366,0.371,0.222
time 12,0.405,0.405,0.364,0.401,0.444,0.256
time 13,0.401,0.391,0.357,0.425,0.373,0.291
time 14,0.405,0.377,0.419,0.403,0.422,0.315
time 15,0.384,0.391,0.368,0.378,0.41,0.305
time 16,0.404,0.391,0.386,0.424,0.367,0.244
time 17,0.349,0.335,0.383,0.377,0.386,0.275
time 18,0.395,0.388,0.424,0.438,0.398,0.331
time 19,0.377,0.393,0.394,0.386,0.375,0.278
time 20,0.397,0.38,0.323,0.431,0.453,0.214
time 21,0.378,0.394,0.315,0.432,0.4,0.256
time 22,0.378,0.393,0.371,0.443,0.382,0.303
time 23,0.405,0.403,0.357,0.4,0.359,0.263
time 24,0.372,0.358,0.395,0.411,0.379,0.272
time 25,0.364,0.401,0.399,0.398,0.413,0.283
time 26,0.389,0.354,0.398,0.391,0.359,0.175
time 27,0.408,0.422,0.415,0.388,0.401,0.262
time 28,0.388,0.379,0.394,0.435,0.37,0.26
time 29,0.391,0.403,0.42,0.383,0.412,0.269
time 30,0.379,0.417,0.377,0.382,0.4,0.266
time 31,0.375,0.42,0.374,0.4,0.4,0.273
time 32,0.395,0.405,0.4,0.385,0.437,0.241
time 33,0.429,0.313,0.401,0.395,0.417,0.257
time 34,0.33,0.312,0.362,0.43,0.424,0.27
time 35,0.408,0.42,0.343,0.393,0.348,0.19
time 36,0.416,0.378,0.378,0.413,0.436,0.268
time 37,0.439,0.359,0.383,0.41,0.445,0.202
time 38,0.394,0.38,0.43,0.424,0.396,0.211
time 39,0.437,0.371,0.364,0.42,0.396,0.273
time 40,0.367,0.403,0.417,0.399,0.411,0.276
time 41,0.387,0.371,0.344,0.387,0.405,0.234
time 42,0.398,0.345,0.419,0.402,0.351,0.256
time 43,0.353,0.415,0.359,0.39,0.441,0.287
time 44,0.355,0.365,0.317,0.434,0.401,0.206
time 45,0.38,0.361,0.37,0.416,0.396,0.278
time 46,0.344,0.37,0.363,0.391,0.399,0.25
time 47,0.394,0.458,0.37,0.403,0.368,0.255
time 48,0.432,0.383,0.371,0.399,0.415,0.305
time 49,0.383,0.411,0.418,0.384,0.415,0.248
time 50,0.368,0.428,0.342,0.382,0.441,0.237
