Source,...2,BLUPs_RF,E1_RF,E2_RF,E4_RF,E5_RF
GP502-correlation- 1 - RF,E1,0.340429057,0.575603865,0.292983101,0.150819156,0.026592711
GP502-correlation- 2 - RF,E1,0.294226608,0.54214675,0.197934479,0.090223038,0.01755696
GP502-correlation- 3 - RF,E1,0.434028865,0.664239782,0.466117966,0.103088915,0.190341348
GP502-correlation- 4 - RF,E1,0.32801217,0.428605104,0.07203105,0.125797371,0.276939388
GP502-correlation- 5 - RF,E1,0.319901877,0.681515645,0.335341588,0.219140695,-0.168485659
GP502-correlation- 6 - RF,E1,-0.193047577,0.291279896,-0.141330463,0.232372408,-0.309779114
GP502-correlation- 7 - RF,E1,0.382318624,0.528250241,0.377354359,0.149951819,-0.006155607
GP502-correlation- 8 - RF,E1,-0.15958783,0.549957071,0.066921806,-0.127164336,-0.370423175
GP502-correlation- 9 - RF,E1,0.300217883,0.33260698,0.336024705,0.11493841,0.145495943
GP502-correlation- 10 - RF,E1,0.091518276,0.385334042,0.273179609,0.253802189,-0.154391628
GP502-correlation- 11 - RF,E1,0.37244145,0.36408233,0.144818739,-0.089852221,0.384736069
GP502-correlation- 12 - RF,E1,-0.029633631,0.298962772,0.224577315,-0.109272758,-0.408760151
GP502-correlation- 13 - RF,E1,-0.046189139,0.401328563,-0.023812442,-0.148670158,-0.139327496
GP502-correlation- 14 - RF,E1,0.527520824,0.647678996,0.442194058,0.174972976,0.25587025
GP502-correlation- 15 - RF,E1,0.246184941,0.503898858,0.306426379,0.509547404,-0.032836628
GP502-correlation- 16 - RF,E1,0.347448106,0.616077429,0.371214587,0.121784805,-0.002648414
GP502-correlation- 17 - RF,E1,0.380033236,0.635429246,0.339515599,0.252562631,0.066018553
GP502-correlation- 18 - RF,E1,0.321464065,0.429578996,0.279338986,0.144219285,0.076779589
GP502-correlation- 19 - RF,E1,0.114548518,0.525644134,0.080935846,-0.224623523,0.066819336
GP502-correlation- 20 - RF,E1,0.231386753,0.445972274,0.074225528,-0.085170416,0.150571014
GP502-correlation- 21 - RF,E1,0.333621545,0.675392195,0.273861222,-0.049893197,0.167707367
GP502-correlation- 22 - RF,E1,0.268874148,0.605223367,0.109342949,-0.0291093,0.147614327
GP502-correlation- 23 - RF,E1,0.094315356,0.590178791,0.316776113,0.180247204,-0.232054305
GP502-correlation- 24 - RF,E1,0.22358112,0.518957053,0.29248939,0.039271912,-0.199317857
GP502-correlation- 25 - RF,E1,0.397820922,0.409344655,0.335321568,0.370479863,0.150110626
GP502-correlation- 26 - RF,E1,0.367080513,0.616134366,0.293945046,0.236185511,-0.05112599
GP502-correlation- 27 - RF,E1,0.289306246,0.598638947,0.436455956,0.142355427,-0.149085629
GP502-correlation- 28 - RF,E1,0.292238414,0.596408386,0.431617846,-0.197969177,-0.052056654
GP502-correlation- 29 - RF,E1,0.290282557,0.494314884,0.455069886,0.059453704,-0.196325591
GP502-correlation- 30 - RF,E1,0.444862078,0.698310144,0.555467933,0.135299453,-0.110337163
GP502-correlation- 31 - RF,E1,0.069069225,0.364581753,0.223334879,0.218881203,-0.34001873
GP502-correlation- 32 - RF,E1,0.354453262,0.649580378,0.332891503,0.324799467,-0.013649599
GP502-correlation- 33 - RF,E1,0.229743718,0.682973014,0.323856408,0.173448022,-0.247940632
GP502-correlation- 34 - RF,E1,0.020630368,0.598020636,-0.025225584,-0.1793615,-0.218689375
GP502-correlation- 35 - RF,E1,0.253814723,0.572264917,0.259513714,0.205342069,-0.085714615
GP502-correlation- 36 - RF,E1,0.286751683,0.669584791,0.069977808,0.400695016,-0.078070018
GP502-correlation- 37 - RF,E1,0.314901574,0.60683492,0.267800305,-0.023967575,-0.05063309
GP502-correlation- 38 - RF,E1,0.261792511,0.469413173,0.267291321,-0.020886686,0.086054029
GP502-correlation- 39 - RF,E1,0.335008016,0.644124527,0.463615345,0.061078754,-0.012326465
GP502-correlation- 40 - RF,E1,0.490742317,0.64044373,0.416246711,0.14615813,0.168191474
GP502-correlation- 41 - RF,E1,0.087520326,0.459285534,0.087220991,0.13572401,-0.201601919
GP502-correlation- 42 - RF,E1,0.149897978,0.707315101,0.190304331,0.043551019,-0.109984026
GP502-correlation- 43 - RF,E1,0.163063927,0.501272328,0.2012114,0.050854385,-0.189169958
GP502-correlation- 44 - RF,E1,0.071231967,0.557592241,0.298604628,-0.150341482,-0.330709542
GP502-correlation- 45 - RF,E1,0.072874281,0.589627224,0.262984056,-0.237903783,-0.142885418
GP502-correlation- 46 - RF,E1,0.240307699,0.62271428,0.23581614,0.000800206,-0.038952339
GP502-correlation- 47 - RF,E1,0.049249337,0.437570476,0.084920328,-0.1467433,-0.101211559
GP502-correlation- 48 - RF,E1,0.343486669,0.730738442,0.465415561,-0.066834994,-0.334004003
GP502-correlation- 49 - RF,E1,0.300754889,0.513766837,0.236209754,0.269226398,0.043433976
GP502-correlation- 50 - RF,E1,0.260695154,0.446927643,0.39073157,-0.028250351,-0.053739766
GP502-correlation- 1 - RF,E2,0.400081005,0.315353116,0.473543242,0.154756832,0.180019694
GP502-correlation- 2 - RF,E2,0.474591776,0.332208498,0.365868815,0.295974842,0.21121278
GP502-correlation- 3 - RF,E2,0.189279103,0.366792509,0.268874194,-0.074574153,0.081682014
GP502-correlation- 4 - RF,E2,0.464233496,0.359021273,0.430169766,-0.096722522,0.255681904
GP502-correlation- 5 - RF,E2,0.491567689,0.436136258,0.452930157,0.086835351,0.265034546
GP502-correlation- 6 - RF,E2,0.310159124,0.353896308,0.360614632,0.334023178,0.032799185
GP502-correlation- 7 - RF,E2,0.276235594,0.365977801,0.281151378,-0.036986493,-0.06689055
GP502-correlation- 8 - RF,E2,0.17894926,0.178657555,0.23982995,0.141903971,0.008779852
GP502-correlation- 9 - RF,E2,0.353356453,0.224856911,0.358452343,0.13835057,0.074728402
GP502-correlation- 10 - RF,E2,0.362589072,0.37834953,0.478491697,0.387302446,-0.005399113
GP502-correlation- 11 - RF,E2,0.427414663,0.543364141,0.575626213,0.088187665,-0.020875937
GP502-correlation- 12 - RF,E2,0.334113178,0.379787027,0.517186028,0.366660258,-0.049075069
GP502-correlation- 13 - RF,E2,0.189678515,0.25763846,0.268869112,0.043212949,-0.086407728
GP502-correlation- 14 - RF,E2,0.483970307,0.320788621,0.417194933,0.210555712,0.31116751
GP502-correlation- 15 - RF,E2,0.463192959,0.195459108,0.326327049,0.250850765,0.315865439
GP502-correlation- 16 - RF,E2,0.288583766,0.430780226,0.320849548,0.131861836,-0.021065052
GP502-correlation- 17 - RF,E2,0.436045408,0.436341261,0.414484309,0.348911098,0.132352577
GP502-correlation- 18 - RF,E2,0.171329323,0.066929628,0.169473349,0.230529684,0.070696266
GP502-correlation- 19 - RF,E2,0.154374651,0.36919019,0.332634084,-0.069044057,-0.08201274
GP502-correlation- 20 - RF,E2,0.178427051,0.162306266,0.261067184,0.151589504,0.051629379
GP502-correlation- 21 - RF,E2,0.350893445,0.294833628,0.284639846,-0.156288472,0.200443175
GP502-correlation- 22 - RF,E2,0.189069674,0.21574452,0.189686776,0.028527952,0.148700911
GP502-correlation- 23 - RF,E2,0.377824596,0.423813234,0.45061114,0.199920767,-0.016992781
GP502-correlation- 24 - RF,E2,0.356082094,0.435617742,0.467937276,0.106883228,0.006623474
GP502-correlation- 25 - RF,E2,0.597322468,0.604009551,0.520224399,0.366943943,0.264683221
