"ENT","Mkt","ID","Year_Rep","Value"
52001,"HRS","H0800080","YLD.2017.AB.Rep",91
52001,"HRS","H0800080","YLD.2017.Soda.Rep",45
52001,"HRS","H0800080","YLD.2017.Walla.Rep",71
52002,"HRS","H0800103L","YLD.2017.AB.Rep",89
52002,"HRS","H0800103L","YLD.2017.Soda.Rep",45.9
52002,"HRS","H0800103L","YLD.2017.Walla.Rep",75.7
52003,"HRS","H0800310","YLD.2017.AB.Rep",84
52003,"HRS","H0800310","YLD.2017.Soda.Rep",40.9
52003,"HRS","H0800310","YLD.2017.Walla.Rep",75.3
52004,"HRS","H0800314","YLD.2017.AB.Rep",89
52004,"HRS","H0800314","YLD.2017.Soda.Rep",38.3
52004,"HRS","H0800314","YLD.2017.Walla.Rep",86.4
52005,"HRS","H0900009","YLD.2017.AB.Rep",90
52005,"HRS","H0900009","YLD.2017.Soda.Rep",52.6
52005,"HRS","H0900009","YLD.2017.Walla.Rep",75.9
52006,"HRS","H0900081","YLD.2017.AB.Rep",89
52006,"HRS","H0900081","YLD.2017.Soda.Rep",43.7
52006,"HRS","H0900081","YLD.2017.Walla.Rep",59
52007,"HRS","Hollis","YLD.2017.AB.Rep",81
52007,"HRS","Hollis","YLD.2017.Soda.Rep",45.8
52007,"HRS","Hollis","YLD.2017.Walla.Rep",72.2
52008,"HRS","HR07005-3","YLD.2017.AB.Rep",95
52008,"HRS","HR07005-3","YLD.2017.Soda.Rep",45.5
52008,"HRS","HR07005-3","YLD.2017.Walla.Rep",88
52009,"HRS","HR07024-5","YLD.2017.AB.Rep",90
52009,"HRS","HR07024-5","YLD.2017.Soda.Rep",49.3
52009,"HRS","HR07024-5","YLD.2017.Walla.Rep",80.9
52010,"HWS","HW080169","YLD.2017.AB.Rep",85
52010,"HWS","HW080169","YLD.2017.Soda.Rep",38.6
52010,"HWS","HW080169","YLD.2017.Walla.Rep",78.1
52011,"HWS","HW090006M","YLD.2017.AB.Rep",89
52011,"HWS","HW090006M","YLD.2017.Soda.Rep",51.4
52011,"HWS","HW090006M","YLD.2017.Walla.Rep",84
52012,"HWS","HW090071M","YLD.2017.AB.Rep",88
52012,"HWS","HW090071M","YLD.2017.Soda.Rep",56.8
52012,"HWS","HW090071M","YLD.2017.Walla.Rep",84.9
52013,"HRS","Kelse","YLD.2017.AB.Rep",89
52013,"HRS","Kelse","YLD.2017.Soda.Rep",42.1
52013,"HRS","Kelse","YLD.2017.Walla.Rep",87.1
52014,"HWS","Macon","YLD.2017.AB.Rep",89
52014,"HWS","Macon","YLD.2017.Soda.Rep",38.8
52014,"HWS","Macon","YLD.2017.Walla.Rep",90.4
52015,"HWS","Otis","YLD.2017.AB.Rep",94
52015,"HWS","Otis","YLD.2017.Soda.Rep",49.7
52015,"HWS","Otis","YLD.2017.Walla.Rep",82.4
52016,"HRS","Scarlet","YLD.2017.AB.Rep",85
52016,"HRS","Scarlet","YLD.2017.Soda.Rep",47
52016,"HRS","Scarlet","YLD.2017.Walla.Rep",62.2
52017,"HRS","Tara2002","YLD.2017.AB.Rep",82
52017,"HRS","Tara2002","YLD.2017.Soda.Rep",45.9
52017,"HRS","Tara2002","YLD.2017.Walla.Rep",88.3
52018,"HRS","WA8016","YLD.2017.AB.Rep",88
52018,"HRS","WA8016","YLD.2017.Soda.Rep",42.7
52018,"HRS","WA8016","YLD.2017.Walla.Rep",59
52019,"HRS","WA8034","YLD.2017.AB.Rep",91
52019,"HRS","WA8034","YLD.2017.Soda.Rep",51.9
52019,"HRS","WA8034","YLD.2017.Walla.Rep",65.4
52020,"HRS","WA8074","YLD.2017.AB.Rep",83
52020,"HRS","WA8074","YLD.2017.Soda.Rep",45.5
52020,"HRS","WA8074","YLD.2017.Walla.Rep",87.9
52021,"HRS","WA8099","YLD.2017.AB.Rep",81
52021,"HRS","WA8099","YLD.2017.Soda.Rep",47
52021,"HRS","WA8099","YLD.2017.Walla.Rep",85.6
52022,"HWS","WA8100","YLD.2017.AB.Rep",84
52022,"HWS","WA8100","YLD.2017.Soda.Rep",45.2
52022,"HWS","WA8100","YLD.2017.Walla.Rep",91.4
52023,"HWS","WA8123","YLD.2017.AB.Rep",90
52023,"HWS","WA8123","YLD.2017.Soda.Rep",44
52023,"HWS","WA8123","YLD.2017.Walla.Rep",72.7
52024,"HWS","WA8133","YLD.2017.AB.Rep",84
52024,"HWS","WA8133","YLD.2017.Soda.Rep",42
52024,"HWS","WA8133","YLD.2017.Walla.Rep",67.2
52025,"SWS","LOUISE","YLD.2017.AB.Rep",85
52025,"SWS","LOUISE","YLD.2017.Soda.Rep",51.2
52025,"SWS","LOUISE","YLD.2017.Walla.Rep",86.7
52026,"SWS","PENAWAWA","YLD.2017.AB.Rep",96
52026,"SWS","PENAWAWA","YLD.2017.Soda.Rep",51.6
52026,"SWS","PENAWAWA","YLD.2017.Walla.Rep",71.8
52027,"SWS","Treasure","YLD.2017.AB.Rep",87
52027,"SWS","Treasure","YLD.2017.Soda.Rep",46.7
52027,"SWS","Treasure","YLD.2017.Walla.Rep",59.2
52028,"SWS","Jubilee","YLD.2017.AB.Rep",93
52028,"SWS","Jubilee","YLD.2017.Soda.Rep",51.1
52028,"SWS","Jubilee","YLD.2017.Walla.Rep",41.5
52029,"SWS","UI Pettit","YLD.2017.AB.Rep",87
52029,"SWS","UI Pettit","YLD.2017.Soda.Rep",45.3
52029,"SWS","UI Pettit","YLD.2017.Walla.Rep",58.3
52030,"SWS","IDO629","YLD.2017.AB.Rep",87
52030,"SWS","IDO629","YLD.2017.Soda.Rep",50.3
52030,"SWS","IDO629","YLD.2017.Walla.Rep",50.3
52031,"SWS","IDO851","YLD.2017.AB.Rep",95
52031,"SWS","IDO851","YLD.2017.Soda.Rep",51.4
52031,"SWS","IDO851","YLD.2017.Walla.Rep",72.3
52032,"SWS","IDO852","YLD.2017.AB.Rep",88
52032,"SWS","IDO852","YLD.2017.Soda.Rep",47.8
52032,"SWS","IDO852","YLD.2017.Walla.Rep",79.1
52033,"HRS","UI Winchester","YLD.2017.AB.Rep",91
52033,"HRS","UI Winchester","YLD.2017.Soda.Rep",41.5
52033,"HRS","UI Winchester","YLD.2017.Walla.Rep",58.1
52034,"HRS","Jerome","YLD.2017.AB.Rep",88
52034,"HRS","Jerome","YLD.2017.Soda.Rep",47.2
52034,"HRS","Jerome","YLD.2017.Walla.Rep",83.3
52035,"HRS","IDO702","YLD.2017.AB.Rep",86
52035,"HRS","IDO702","YLD.2017.Soda.Rep",49.2
52035,"HRS","IDO702","YLD.2017.Walla.Rep",82.7
52036,"HRS","Jefferson","YLD.2017.AB.Rep",94
52036,"HRS","Jefferson","YLD.2017.Soda.Rep",55
52036,"HRS","Jefferson","YLD.2017.Walla.Rep",79.5
52037,"SWS","Alturas","YLD.2017.AB.Rep",92
52037,"SWS","Alturas","YLD.2017.Soda.Rep",43.9
52037,"SWS","Alturas","YLD.2017.Walla.Rep",68.4
